"","ligand","receptor","species"
"77","EFNA2","EPHA5","Human"
"78","EFNA2","EPHA4","Human"
"79","EFNA2","EPHA6","Human"
"80","EFNA2","EPHA2","Human"
"81","FGF22","FGFR2","Human"
"82","FGF22","FGFR1","Human"
"83","MADCAM1","ITGA4","Human"
"84","MADCAM1","CD44","Human"
"85","MADCAM1","ITGB7","Human"
"86","MIF","CXCR4","Human"
"87","MIF","CD44","Human"
"88","MIF","EGFR","Human"
"89","MIF","CXCR2","Human"
"90","OSM","LIFR","Human"
"91","OSM","IL6ST","Human"
"92","OSM","OSMR","Human"
"93","TCN2","LRP2","Human"
"94","TCN2","CNR1","Human"
"95","LGALS1","ITGB1","Human"
"96","LGALS1","PTPRC","Human"
"97","NID2","COL13A1","Human"
"98","GZMB","CHRM3","Human"
"99","GZMB","IGF2R","Human"
"100","RSPO4","LGR6","Human"
"101","RSPO4","LGR4","Human"
"102","RSPO4","LGR5","Human"
"103","OXT","AVPR2","Human"
"104","OXT","AVPR1B","Human"
"105","OXT","AVPR1A","Human"
"106","OXT","OXTR","Human"
"107","F9","LRP1","Human"
"108","PCSK1N","GPR171","Human"
"109","TIMP1","FGFR2","Human"
"110","TIMP1","CD63","Human"
"111","MMP2","PECAM1","Human"
"112","MMP2","CCR2","Human"
"113","MMP2","SDC2","Human"
"114","MMP2","FGFR1","Human"
"115","CCL22","CCR4","Human"
"116","CCL22","DPP4","Human"
"117","CCL22","ACKR2","Human"
"118","CCL17","CCR4","Human"
"119","CCL17","ACKR1","Human"
"120","CCL17","ACKR2","Human"
"121","CCL17","CCR8","Human"
"122","TG","ASGR1","Human"
"123","TG","LRP2","Human"
"124","TG","TPO","Human"
"125","SFRP1","FZD2","Human"
"126","SFRP1","FZD6","Human"
"127","PLAT","ITGAM","Human"
"128","PLAT","LRP1","Human"
"129","PLAT","ITGB2","Human"
"130","DKK4","LRP6","Human"
"131","DKK4","LRP5","Human"
"132","LHB","PTH1R","Human"
"133","LHB","ADCYAP1R1","Human"
"134","LHB","RAMP2","Human"
"135","LHB","VIPR1","Human"
"136","LHB","RAMP3","Human"
"137","LHB","GPR20","Human"
"138","LHB","ADRB2","Human"
"139","LHB","ADRB3","Human"
"140","LHB","TSHR","Human"
"141","LHB","LHCGR","Human"
"142","LHB","GPR84","Human"
"143","AMH","ACVR1","Human"
"144","AMH","EGFR","Human"
"145","AMH","AMHR2","Human"
"146","RETN","GPR25","Human"
"147","EBI3","IL27RA","Human"
"148","EBI3","IL6ST","Human"
"149","TGFB1","ENG","Human"
"150","TGFB1","EGFR","Human"
"151","TGFB1","SMAD3","Human"
"152","TGFB1","TGFBR2","Human"
"153","TGFB1","ITGB3","Human"
"154","TGFB1","TGFBR1","Human"
"155","TGFB1","ACVRL1","Human"
"156","TGFB1","ITGB6","Human"
"157","TGFB1","ITGAV","Human"
"158","TGFB1","ITGB1","Human"
"159","TGFB1","CAV1","Human"
"160","TGFB1","SDC2","Human"
"161","TGFB1","ITGB8","Human"
"162","TGFB1","CXCR4","Human"
"163","TGFB1","ITGB5","Human"
"164","ICAM5","ITGAL","Human"
"165","ICAM5","ITGB2","Human"
"166","CEACAM5","CD1D","Human"
"167","COMP","ITGB1","Human"
"168","COMP","ITGB3","Human"
"169","COMP","CD36","Human"
"170","HGF","CD44","Human"
"171","HGF","SDC1","Human"
"172","HGF","ITGB1","Human"
"173","HGF","MET","Human"
"174","HGF","SDC2","Human"
"175","HGF","NRP1","Human"
"176","HGF","ST14","Human"
"177","LAMB1","ITGA7","Human"
"178","LAMB1","ITGAV","Human"
"179","LAMB1","ITGB1","Human"
"180","LAMB1","ITGA6","Human"
"181","LAMB1","ITGA1","Human"
"182","LAMB1","ITGA2","Human"
"183","WNT16","FZD6","Human"
"184","NAMPT","ADORA2A","Human"
"185","PON2","HTR2A","Human"
"186","NPVF","NPFFR1","Human"
"187","NPVF","NPFFR2","Human"
"188","PDAP1","PDGFRB","Human"
"189","SERPINE1","LRP2","Human"
"190","SERPINE1","PLAUR","Human"
"191","SERPINE1","ITGAV","Human"
"192","SERPINE1","LRP1","Human"
"193","SERPINE1","ITGB5","Human"
"194","C5","ADRA2A","Human"
"195","C5","MTNR1A","Human"
"196","C5","C5AR2","Human"
"197","C5","C5AR1","Human"
"198","C5","GRM7","Human"
"199","TNFSF8","TNFRSF8","Human"
"200","RLN1","RXFP2","Human"
"201","RLN1","RXFP1","Human"
"202","CSF3","CSF1R","Human"
"203","CSF3","CSF3R","Human"
"204","WNT3","RYK","Human"
"205","WNT3","LRP6","Human"
"206","WNT3","ROR2","Human"
"207","WNT3","FZD1","Human"
"208","WNT3","FZD7","Human"
"209","WNT3","FZD8","Human"
"210","WNT3","FZD5","Human"
"211","CCL2","CCR4","Human"
"212","CCL2","CCR1","Human"
"213","CCL2","CCR2","Human"
"214","CCL2","CCR5","Human"
"215","CCL2","CCR10","Human"
"216","CCL2","CCR3","Human"
"217","CCL2","ACKR1","Human"
"218","CCL2","ACKR2","Human"
"219","CCL2","ACKR4","Human"
"220","CCL1","CCR8","Human"
"221","CCL13","CXCR3","Human"
"222","CCL13","CCR3","Human"
"223","CCL13","ACKR1","Human"
"224","CCL13","CCR1","Human"
"225","CCL13","ACKR2","Human"
"226","CCL13","CCR2","Human"
"227","CCL13","CCR5","Human"
"228","CCL13","ACKR4","Human"
"229","CCL13","CCR9","Human"
"230","COL1A1","ITGA5","Human"
"231","COL1A1","CD93","Human"
"232","COL1A1","FLT4","Human"
"233","COL1A1","CD36","Human"
"234","COL1A1","ITGA1","Human"
"235","COL1A1","DDR2","Human"
"236","COL1A1","CD44","Human"
"237","COL1A1","ITGAV","Human"
"238","COL1A1","ITGB1","Human"
"239","COL1A1","ITGA11","Human"
"240","COL1A1","TMPRSS6","Human"
"241","COL1A1","ITGA2","Human"
"242","COL1A1","DDR1","Human"
"243","EFNB3","EPHB6","Human"
"244","EFNB3","EPHB4","Human"
"245","EFNB3","RHBDL2","Human"
"246","EFNB3","EPHB1","Human"
"247","EFNB3","EPHB3","Human"
"248","EFNB3","EPHB2","Human"
"249","EFNB3","EPHA4","Human"
"250","VTN","ITGA5","Human"
"251","VTN","ITGA8","Human"
"252","VTN","CD47","Human"
"253","VTN","ITGAV","Human"
"254","VTN","ITGB1","Human"
"255","VTN","KDR","Human"
"256","VTN","PLAUR","Human"
"257","VTN","ITGA2B","Human"
"258","VTN","ITGB3","Human"
"259","VTN","ITGB6","Human"
"260","VTN","TNFRSF11B","Human"
"261","VTN","PVR","Human"
"262","VTN","ITGB5","Human"
"263","IBSP","ITGB3","Human"
"264","IBSP","ITGAV","Human"
"265","CXCL6","ADRA2A","Human"
"266","CXCL6","ACKR1","Human"
"267","CXCL6","CXCR2","Human"
"268","CXCL6","GRM7","Human"
"269","CXCL6","CXCR1","Human"
"270","CXCL6","MTNR1A","Human"
"271","IL2","IL2RA","Human"
"272","IL2","IL2RG","Human"
"273","IL2","CD53","Human"
"274","APOC3","LRP2","Human"
"275","APOC3","LDLR","Human"
"276","APOC3","LRP1","Human"
"277","APOC3","SDC2","Human"
"278","APOC3","TLR2","Human"
"279","KITLG","KIT","Human"
"280","CLEC2B","KLRF1","Human"
"281","SELPLG","ITGAM","Human"
"282","SELPLG","ESAM","Human"
"283","SELPLG","SELL","Human"
"284","SELPLG","SELP","Human"
"285","SELPLG","SELE","Human"
"286","SELPLG","ITGB2","Human"
"287","IL23A","IL12RB1","Human"
"288","IL23A","IL12RB2","Human"
"289","IL23A","IL23R","Human"
"290","FGF6","FGFR2","Human"
"291","FGF6","SDC4","Human"
"292","FGF6","FGFR4","Human"
"293","FGF6","FGFR1","Human"
"294","FGF6","FGFR3","Human"
"295","IL26","IL10RB","Human"
"296","IL26","IL20RA","Human"
"297","IFNG","IFNGR2","Human"
"298","IFNG","IFNGR1","Human"
"299","GNB3","TGFBR1","Human"
"300","GNB3","GABBR2","Human"
"301","ULBP1","KLRK1","Human"
"302","LAMA4","ITGA6","Human"
"303","LAMA4","ITGAV","Human"
"304","LAMA4","ITGB1","Human"
"305","HBEGF","CD44","Human"
"306","HBEGF","EGFR","Human"
"307","HBEGF","CD9","Human"
"308","HBEGF","PRLR","Human"
"309","HBEGF","ERBB2","Human"
"310","HBEGF","ERBB4","Human"
"311","IL12B","IL12RB1","Human"
"312","IL12B","IL23R","Human"
"313","IL12B","IL12RB2","Human"
"314","IL4","IL13RA2","Human"
"315","IL4","IL2RG","Human"
"316","IL4","CD53","Human"
"317","IL4","IL13RA1","Human"
"318","IL4","IL4R","Human"
"319","IL5","CSF2RB","Human"
"320","IL5","IL5RA","Human"
"321","SEMA3G","NRP2","Human"
"322","LTF","LRP1","Human"
"323","LTF","TFRC","Human"
"324","HRG","ERBB2","Human"
"325","HRG","FCGR1A","Human"
"326","HRG","ERBB3","Human"
"327","TFPI","VLDLR","Human"
"328","TFPI","LRP1","Human"
"329","TFPI","SDC4","Human"
"330","TFPI","F3","Human"
"331","APOB","ITGAM","Human"
"332","APOB","LRP6","Human"
"333","APOB","OLR1","Human"
"334","APOB","LRP2","Human"
"335","APOB","VLDLR","Human"
"336","APOB","LDLR","Human"
"337","APOB","CALCR","Human"
"338","APOB","MTTP","Human"
"339","APOB","LSR","Human"
"340","APOB","ADRB2","Human"
"341","APOB","TLR6","Human"
"342","APOB","LRP1","Human"
"343","APOB","ITGB2","Human"
"344","APOB","TLR4","Human"
"345","APOB","LRP8","Human"
"346","WNT6","FZD4","Human"
"347","PROC","ITGAM","Human"
"348","PROC","ITGB2","Human"
"349","PROC","THBD","Human"
"350","ANGPTL1","TEK","Human"
"351","CD160","TNFRSF14","Human"
"352","APOA1","ABCA1","Human"
"353","APOA1","LRP2","Human"
"354","APOA1","LDLR","Human"
"355","APOA1","LRP1","Human"
"356","FGF23","FGFR2","Human"
"357","FGF23","PHEX","Human"
"358","FGF23","KL","Human"
"359","FGF23","FGFR4","Human"
"360","FGF23","FGFR1","Human"
"361","FGF23","FGFR3","Human"
"362","TGFB3","ENG","Human"
"363","TGFB3","ITGB1","Human"
"364","TGFB3","TGFBR2","Human"
"365","TGFB3","ITGB3","Human"
"366","TGFB3","TGFBR1","Human"
"367","TGFB3","ACVRL1","Human"
"368","TGFB3","ITGB6","Human"
"369","TGFB3","ITGB5","Human"
"370","IFNA7","IFNAR2","Human"
"371","IFNA7","IFNAR1","Human"
"372","IAPP","PTH1R","Human"
"373","IAPP","ADCYAP1R1","Human"
"374","IAPP","RAMP2","Human"
"375","IAPP","VIPR1","Human"
"376","IAPP","CALCR","Human"
"377","IAPP","RAMP3","Human"
"378","IAPP","GPR20","Human"
"379","IAPP","ADRB2","Human"
"380","IAPP","RAMP1","Human"
"381","IAPP","ADRB3","Human"
"382","IAPP","TSHR","Human"
"383","IAPP","GPR84","Human"
"384","TNFSF10","TNFRSF10D","Human"
"385","TNFSF10","RIPK1","Human"
"386","TNFSF10","TNFRSF10B","Human"
"387","TNFSF10","TNFRSF10C","Human"
"388","TNFSF10","TNFRSF11B","Human"
"389","GSTM2","RYR2","Human"
"390","INHBA","ACVR1","Human"
"391","INHBA","ACVR2B","Human"
"392","INHBA","ENG","Human"
"393","INHBA","SMAD3","Human"
"394","INHBA","BAMBI","Human"
"395","INHBA","ACVR1B","Human"
"396","INHA","ACVR1","Human"
"397","INHA","ACVR2B","Human"
"398","PI3","PLD2","Human"
"399","IL17C","IL17RE","Human"
"400","LYPD3","AGR2","Human"
"401","EREG","ERBB2","Human"
"402","EREG","EGFR","Human"
"403","EREG","ERBB4","Human"
"404","EREG","ERBB3","Human"
"405","EFNB2","EPHB6","Human"
"406","EFNB2","PECAM1","Human"
"407","EFNB2","EPHB4","Human"
"408","EFNB2","RHBDL2","Human"
"409","EFNB2","EPHA3","Human"
"410","EFNB2","EPHB1","Human"
"411","EFNB2","EPHB3","Human"
"412","EFNB2","GRM5","Human"
"413","EFNB2","EPHB2","Human"
"414","EFNB2","EPHA4","Human"
"415","EFNB2","EPHA6","Human"
"416","EFNB2","GRM1","Human"
"417","BMP4","LRP6","Human"
"418","BMP4","BMPR2","Human"
"419","BMP4","BMPR1A","Human"
"420","BMP4","HJV","Human"
"421","BMP4","BMPR1B","Human"
"422","PSPN","GFRA3","Human"
"423","PSPN","RET","Human"
"424","PSPN","SDC3","Human"
"425","PSPN","GFRA2","Human"
"426","PSPN","GFRA4","Human"
"427","PSPN","GFRA1","Human"
"428","TNFSF9","TNFRSF9","Human"
"429","TNFSF9","PVR","Human"
"430","TNFSF9","TRAF2","Human"
"431","CD70","TNFRSF13B","Human"
"432","CD70","CD27","Human"
"433","C3","ITGAM","Human"
"434","C3","CD19","Human"
"435","C3","CD46","Human"
"436","C3","MTNR1A","Human"
"437","C3","C5AR2","Human"
"438","C3","CR2","Human"
"439","C3","GRM7","Human"
"440","C3","ITGAX","Human"
"441","C3","C3AR1","Human"
"442","C3","ADRA2A","Human"
"443","C3","IFITM1","Human"
"444","C3","CR1","Human"
"445","C3","ITGB2","Human"
"446","C3","CD81","Human"
"447","VASP","CXCR2","Human"
"448","SLURP1","CHRNA7","Human"
"449","GDF1","ACVR2B","Human"
"450","GDF1","SMAD3","Human"
"451","GDF1","ACVR1B","Human"
"452","OMG","RTN4RL1","Human"
"453","OMG","LINGO1","Human"
"454","LIF","LIFR","Human"
"455","LIF","IL6ST","Human"
"456","DLL4","NOTCH1","Human"
"457","DLL4","NOTCH4","Human"
"458","DLL4","NOTCH2","Human"
"459","DLL4","NOTCH3","Human"
"460","TPH1","HTR7","Human"
"461","TPH1","HTR1A","Human"
"462","TPH1","HTR1F","Human"
"463","TPH1","HTR1D","Human"
"464","TPH1","HTR2C","Human"
"465","TPH1","HTR4","Human"
"466","TPH1","HTR6","Human"
"467","TPH1","HTR1B","Human"
"468","TPH1","HTR2A","Human"
"469","TPH1","HTR2B","Human"
"470","TPH1","HTR5A","Human"
"471","TPH1","HTR1E","Human"
"472","AANAT","MTNR1B","Human"
"473","AANAT","MTNR1A","Human"
"474","LMAN1","MCFD2","Human"
"475","APOE","LRP6","Human"
"476","APOE","LRP2","Human"
"477","APOE","VLDLR","Human"
"478","APOE","LDLR","Human"
"479","APOE","LRP5","Human"
"480","APOE","CHRNA4","Human"
"481","APOE","TREM2","Human"
"482","APOE","LSR","Human"
"483","APOE","SORL1","Human"
"484","APOE","ABCA1","Human"
"485","APOE","SCARB1","Human"
"486","APOE","SDC2","Human"
"487","APOE","LRP8","Human"
"488","APOE","LRP4","Human"
"489","APOC2","LDLR","Human"
"490","NCAN","CDH2","Human"
"491","NCAN","SDC3","Human"
"492","BST2","LILRA4","Human"
"493","BMP15","BMPR2","Human"
"494","BMP15","BMPR1A","Human"
"495","BMP15","BMPR1B","Human"
"496","EPO","EPHB4","Human"
"497","GDF15","GFRAL","Human"
"498","GDF15","RET","Human"
"499","LAMA5","SDC1","Human"
"500","LAMA5","ITGA6","Human"
"501","LAMA5","BCAM","Human"
"502","LAMA5","ITGB1","Human"
"503","LAMA5","ITGA2","Human"
"504","F12","GP1BA","Human"
"505","JAG1","CD46","Human"
"506","JAG1","NOTCH4","Human"
"507","JAG1","NOTCH1","Human"
"508","JAG1","NOTCH2","Human"
"509","JAG1","NOTCH3","Human"
"510","CRP","OLR1","Human"
"511","CRP","CR1","Human"
"512","NTS","SORT1","Human"
"513","NTS","NTSR1","Human"
"514","NTS","NTSR2","Human"
"515","TSHB","PTH1R","Human"
"516","TSHB","ADCYAP1R1","Human"
"517","TSHB","VIPR1","Human"
"518","TSHB","GPR20","Human"
"519","TSHB","ADRB2","Human"
"520","TSHB","ADRB3","Human"
"521","TSHB","TSHR","Human"
"522","TSHB","GPR84","Human"
"523","FST","HJV","Human"
"524","FST","BMPR2","Human"
"525","FST","BMPR1B","Human"
"526","GRP","GRPR","Human"
"527","GRP","BRS3","Human"
"528","GRP","NMBR","Human"
"529","SPX","GALR2","Human"
"530","DSC1","DSG2","Human"
"531","SEMA6A","PLXNA4","Human"
"532","SEMA6A","PLXNA2","Human"
"533","LACRT","SDC1","Human"
"534","GDF11","ACVR2B","Human"
"535","GDF11","ACVR1B","Human"
"536","GDF11","BMPR2","Human"
"537","GDF11","BMPR1A","Human"
"538","GDF11","BMPR1B","Human"
"539","LAMC1","ITGA6","Human"
"540","LAMC1","ITGA1","Human"
"541","LAMC1","ITGA7","Human"
"542","LAMC1","ITGAV","Human"
"543","LAMC1","ITGB1","Human"
"544","LAMC1","ITGA2","Human"
"545","IL36G","IL36RN","Human"
"546","IL36G","IL1RL2","Human"
"547","IL1RN","IL1R1","Human"
"548","IL1RN","IL1RL2","Human"
"549","IL1RN","IL1R2","Human"
"550","IL36A","IL36RN","Human"
"551","IL36A","IL1RL2","Human"
"552","IL36B","IL36RN","Human"
"553","IL36B","IL1RL2","Human"
"554","CFC1","SMAD3","Human"
"555","CFC1","ACVR1B","Human"
"556","ORM1","CCR5","Human"
"557","CCN3","PLXNA1","Human"
"558","CCN3","NOTCH1","Human"
"559","CCL21","ADRA2A","Human"
"560","CCL21","MTNR1A","Human"
"561","CCL21","CXCR3","Human"
"562","CCL21","GRM7","Human"
"563","CCL21","ACKR2","Human"
"564","CCL27","CCR10","Human"
"565","CCL27","ADRA2A","Human"
"566","CCL27","GRM7","Human"
"567","CCL27","ACKR2","Human"
"568","CCL27","MTNR1A","Human"
"569","TGS1","RXRA","Human"
"570","MMP7","CD44","Human"
"571","MMP7","SDC1","Human"
"572","MMP7","CD151","Human"
"573","MMP7","ERBB4","Human"
"574","THBS1","ITGA4","Human"
"575","THBS1","CD47","Human"
"576","THBS1","SDC1","Human"
"577","THBS1","ITGB1","Human"
"578","THBS1","LRP5","Human"
"579","THBS1","ITGA2B","Human"
"580","THBS1","ITGB3","Human"
"581","THBS1","SDC4","Human"
"582","THBS1","SCARB1","Human"
"583","THBS1","ITGA6","Human"
"584","THBS1","TNFRSF11B","Human"
"585","THBS1","CD36","Human"
"586","ADAM10","GPNMB","Human"
"587","ADAM10","TSPAN5","Human"
"588","ADAM10","TSPAN15","Human"
"589","ADAM10","CD44","Human"
"590","ADAM10","TSPAN10","Human"
"591","ADAM10","CADM1","Human"
"592","ADAM10","TSPAN14","Human"
"593","ADAM10","NOTCH1","Human"
"594","ADAM10","IL6R","Human"
"595","ADAM10","MET","Human"
"596","ADAM10","TSPAN17","Human"
"597","ADAM10","EPHA3","Human"
"598","ADAM10","TREM2","Human"
"599","ADAM10","AXL","Human"
"600","ADAM10","NRCAM","Human"
"601","MSTN","ACVR2B","Human"
"602","COL8A1","ITGA1","Human"
"603","COL8A1","ITGA2","Human"
"604","LYZ","ITGAL","Human"
"605","VWF","SCARA5","Human"
"606","VWF","ITGA2B","Human"
"607","VWF","ITGB3","Human"
"608","VWF","STAB2","Human"
"609","VWF","SELP","Human"
"610","VWF","SIRPA","Human"
"611","VWF","TNFRSF11B","Human"
"612","VWF","GP1BA","Human"
"613","CDH1","EGFR","Human"
"614","CDH1","LRP5","Human"
"615","CDH1","IGF1R","Human"
"616","CDH1","ITGB7","Human"
"617","CDH1","ERBB3","Human"
"618","CDH1","KLRG1","Human"
"619","CDH1","CDH2","Human"
"620","CDH1","ITGAE","Human"
"621","CDH1","PTPRM","Human"
"622","CDH1","PTPRF","Human"
"623","IL17B","IL17RB","Human"
"624","SEMA7A","ITGB1","Human"
"625","SEMA7A","ITGA1","Human"
"626","RIMS2","ABCA1","Human"
"627","ANOS1","SDC2","Human"
"628","ANOS1","FGFR1","Human"
"629","TIMP2","CD44","Human"
"630","TIMP2","ITGB1","Human"
"631","LGALS3BP","ITGB1","Human"
"632","IL37","IL1RAPL1","Human"
"633","IL1A","IL1R1","Human"
"634","IL1A","IL1RAP","Human"
"635","IL1A","IL1R2","Human"
"636","IL1B","SIGIRR","Human"
"637","IL1B","IL1R1","Human"
"638","IL1B","ADRB2","Human"
"639","IL1B","IL1RAP","Human"
"640","IL1B","IL1R2","Human"
"641","MIA","CDH7","Human"
"642","LCN1","LMBR1L","Human"
"643","CNTN3","PTPRG","Human"
"644","IL7","IL7R","Human"
"645","IL7","IL2RG","Human"
"646","CKLF","CCR4","Human"
"647","FARP2","PLXNA3","Human"
"648","FARP2","PLXNA1","Human"
"649","FARP2","PLXNA2","Human"
"650","FARP2","PLXNA4","Human"
"651","LAMC2","ITGA6","Human"
"652","LAMC2","CD151","Human"
"653","LAMC2","ITGB1","Human"
"654","LAMC2","ITGA2","Human"
"655","LAMC2","COL17A1","Human"
"656","NID1","ITGB1","Human"
"657","NID1","ITGB3","Human"
"658","NID1","COL13A1","Human"
"659","NID1","PTPRF","Human"
"660","NMU","ADRA2A","Human"
"661","NMU","GRM7","Human"
"662","NMU","NMUR1","Human"
"663","NMU","MTNR1A","Human"
"664","IL21","IL21R","Human"
"665","IL21","IL2RG","Human"
"666","FGF2","SDC1","Human"
"667","FGF2","FGFR1","Human"
"668","FGF2","FGFR2","Human"
"669","FGF2","CD44","Human"
"670","FGF2","SDC3","Human"
"671","FGF2","SDC4","Human"
"672","FGF2","GPC4","Human"
"673","FGF2","SDC2","Human"
"674","FGF2","FGFRL1","Human"
"675","FGF2","FGFR4","Human"
"676","FGF2","FGFR3","Human"
"677","FGF2","NRP1","Human"
"678","IL11","IL11RA","Human"
"679","IL11","IL6ST","Human"
"680","WNT5A","PTK7","Human"
"681","WNT5A","LDLR","Human"
"682","WNT5A","LRP5","Human"
"683","WNT5A","EPHA7","Human"
"684","WNT5A","FZD5","Human"
"685","WNT5A","ROR1","Human"
"686","WNT5A","VANGL2","Human"
"687","WNT5A","RYK","Human"
"688","WNT5A","ROR2","Human"
"689","WNT5A","PTPRK","Human"
"690","WNT5A","ADRB2","Human"
"691","WNT5A","FZD1","Human"
"692","WNT5A","FZD4","Human"
"693","WNT5A","FZD9","Human"
"694","WNT5A","FZD7","Human"
"695","WNT5A","FZD3","Human"
"696","WNT5A","FZD8","Human"
"697","WNT5A","FZD2","Human"
"698","WNT5A","ANTXR1","Human"
"699","WNT5A","FZD6","Human"
"700","FGF10","FGFR2","Human"
"701","FGF10","FGFRL1","Human"
"702","FGF10","FGFR1","Human"
"703","ICAM1","ITGAM","Human"
"704","ICAM1","ITGAL","Human"
"705","ICAM1","ITGAX","Human"
"706","ICAM1","MUC1","Human"
"707","ICAM1","EGFR","Human"
"708","ICAM1","CAV1","Human"
"709","ICAM1","IL2RA","Human"
"710","ICAM1","ITGB2","Human"
"711","ICAM1","SPN","Human"
"712","ICAM1","IL2RG","Human"
"713","OLFM2","ROBO2","Human"
"714","F13A1","ITGA4","Human"
"715","F13A1","ITGB1","Human"
"716","BST1","CAV1","Human"
"717","KNG1","ITGAM","Human"
"718","KNG1","ADRA2A","Human"
"719","KNG1","RXFP4","Human"
"720","KNG1","PLAUR","Human"
"721","KNG1","MTNR1A","Human"
"722","KNG1","ITGB2","Human"
"723","KNG1","SDC2","Human"
"724","KNG1","GRM7","Human"
"725","KNG1","BDKRB2","Human"
"726","KNG1","GP1BA","Human"
"727","VCAN","ITGA4","Human"
"728","VCAN","CD44","Human"
"729","VCAN","EGFR","Human"
"730","VCAN","ITGB1","Human"
"731","VCAN","TLR1","Human"
"732","TNC","ITGA5","Human"
"733","TNC","SDC1","Human"
"734","TNC","EGFR","Human"
"735","TNC","ITGB3","Human"
"736","TNC","ITGB6","Human"
"737","TNC","PTPRB","Human"
"738","TNC","ITGA8","Human"
"739","TNC","ITGA7","Human"
"740","TNC","ITGB1","Human"
"741","TNC","SDC4","Human"
"742","TNC","CNTN1","Human"
"743","TNC","ITGA2","Human"
"744","EGF","EGFR","Human"
"745","EGF","LDLR","Human"
"746","EGF","FSHR","Human"
"747","EGF","ERBB3","Human"
"748","EGF","ADRB2","Human"
"749","EGF","CAV1","Human"
"750","EGF","RHBDL2","Human"
"751","EGF","ERBB2","Human"
"752","EGF","ERBB4","Human"
"753","EGF","NRP1","Human"
"754","EGF","AXL","Human"
"755","SEMA3C","PLXND1","Human"
"756","SEMA3C","NRP1","Human"
"757","SEMA3C","NRP2","Human"
"758","SEMA3A","PLXNA4","Human"
"759","SEMA3A","PLXNA3","Human"
"760","SEMA3A","PLXNA1","Human"
"761","SEMA3A","NRP1","Human"
"762","SEMA3A","PLXNA2","Human"
"763","SEMA3A","NRP2","Human"
"764","WNT2","FZD1","Human"
"765","WNT2","FZD4","Human"
"766","WNT2","FZD9","Human"
"767","WNT2","FZD7","Human"
"768","WNT2","FZD3","Human"
"769","WNT2","FZD8","Human"
"770","WNT2","FZD5","Human"
"771","WNT2","FZD2","Human"
"772","NPTX2","NPTXR","Human"
"773","GAL","ADRA2A","Human"
"774","GAL","MTNR1A","Human"
"775","GAL","GALR2","Human"
"776","GAL","GRM7","Human"
"777","GAL","GPR151","Human"
"778","GAL","GALR1","Human"
"779","ADAM2","ITGB1","Human"
"780","ADAM2","CD9","Human"
"781","ADAM2","ITGA6","Human"
"782","ADAM2","ITGB7","Human"
"783","ADAM28","ITGA4","Human"
"784","SLIT1","ROBO1","Human"
