"","ligand","receptor","species"
"1","SEMA3F","PLXNA3","Human"
"2","SEMA3F","PLXNA1","Human"
"3","SEMA3F","NRP1","Human"
"4","SEMA3F","NRP2","Human"
"5","CX3CL1","CX3CR1","Human"
"6","HEBP1","ADRA2A","Human"
"7","HEBP1","MTNR1A","Human"
"8","HEBP1","FPR3","Human"
"9","HEBP1","GRM7","Human"
"10","DCN","EGFR","Human"
"11","DCN","MET","Human"
"12","DCN","ERBB4","Human"
"13","GRN","TNFRSF1A","Human"
"14","GRN","EGFR","Human"
"15","GRN","SORT1","Human"
"16","GRN","TNFRSF1B","Human"
"17","GRN","CLEC4M","Human"
"18","UTS2","UTS2R","Human"
"19","ICAM3","ITGAL","Human"
"20","ICAM3","ITGB2","Human"
"21","ICAM3","CLEC4M","Human"
"22","ICAM3","CD209","Human"
"23","ICAM3","ITGAD","Human"
"24","CEACAM1","EGFR","Human"
"25","CEACAM1","SELE","Human"
"26","CEACAM1","CD209","Human"
"27","PRLH","PRLHR","Human"
"28","FGF4","FGFR2","Human"
"29","FGF4","FGFR4","Human"
"30","FGF4","FGFR1","Human"
"31","FGF4","FGFR3","Human"
"32","FGF4","NRP1","Human"
"33","ST6GAL1","EGFR","Human"
"34","NTN1","UNC5D","Human"
"35","NTN1","UNC5B","Human"
"36","NTN1","DCC","Human"
"37","NTN1","UNC5A","Human"
"38","NTN1","ADORA2B","Human"
"39","NTN1","UNC5C","Human"
"40","NTN1","NEO1","Human"
"41","SCT","PTH1R","Human"
"42","SCT","ADCYAP1R1","Human"
"43","SCT","RAMP2","Human"
"44","SCT","VIPR1","Human"
"45","SCT","RAMP3","Human"
"46","SCT","GPR20","Human"
"47","SCT","ADRB2","Human"
"48","SCT","VIPR2","Human"
"49","SCT","ADRB3","Human"
"50","SCT","TSHR","Human"
"51","SCT","GPR84","Human"
"52","FGF20","FGFR2","Human"
"53","FGF20","FGFR4","Human"
"54","FGF20","FGFR1","Human"
"55","FGF20","FGFR3","Human"
"56","CEACAM6","EGFR","Human"
"57","THPO","MPL","Human"
"58","EFNB1","EPHB6","Human"
"59","EFNB1","EPHB4","Human"
"60","EFNB1","ERBB2","Human"
"61","EFNB1","EPHB1","Human"
"62","EFNB1","EPHB3","Human"
"63","EFNB1","EPHB2","Human"
"64","EFNB1","EPHA4","Human"
"65","EFNB1","EPHA6","Human"
"66","DLL3","NOTCH1","Human"
"67","DLL3","NOTCH4","Human"
"68","DLL3","NOTCH2","Human"
"69","DLL3","NOTCH3","Human"
"70","SEMA4G","PLXNB2","Human"
"71","VCL","ITGB5","Human"
"72","VCL","ALK","Human"
"73","EFNA2","EPHA7","Human"
"74","EFNA2","EPHA10","Human"
"75","EFNA2","EPHA3","Human"
"76","EFNA2","EPHA1","Human"
